GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
,Laxmipur,149.090566825,Khowai,Teliamura,Teliamura,Teliamura,,2020,14.98,47.59,26.24,16.55,105.36
Village Council,Burakha Kami,325.60998416,West Tripura,Jirania,Mandwi,Burakha,Borakha,2020,22.38,83.35,82.97,19.35,208.05
Village Council,Chubanai Bodal,962.668335966,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2020,7.77,83.32,144.54,342.17,577.8
Village Council,Shibnagar,658.938926737,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2020,21.57,137.91,201.8,51.01,412.29
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,2.74,27.71,51.86,252.78,335.09
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2020,50.24,221.83,191.37,205.24,668.68
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2020,25.31,144.42,163.91,42.79,376.43
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2020,50.53,253.18,184.24,120.06,608.01
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,1.48,22.8,58.92,250.11,333.31
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2020,3.26,30.15,54.32,286.29,374.02
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2020,31.77,80.3,56.45,71.98,240.5
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,36.77,66.83,129.03,174.31,406.94
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2020,66.41,278.84,265.68,203.53,814.46
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,2.01,24.12,89.64,291.95,407.72
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,2.9,33.09,43.36,55.52,134.87
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2020,119.56,246.94,244.88,385.49,996.87
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,1.73,22.93,73.08,130.15,227.89
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,2.0,20.61,65.07,86.04,173.72
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,2.11,17.82,55.3,103.6,178.83
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,0.72,17.5,86.71,94.24,199.17
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2020,15.1,73.9,56.17,66.77,211.94
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2020,52.45,215.99,217.7,126.41,612.55
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,18.83,114.38,112.76,102.77,348.74
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2020,4.26,22.13,29.14,53.26,108.79
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,0.95,12.25,51.24,99.81,164.25
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2020,32.91,132.5,170.7,72.45,408.56
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2020,4.93,29.26,58.01,71.51,163.71
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,1.07,28.32,147.23,145.58,322.2
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,50.89,191.71,147.28,150.22,540.1
