GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,7.28,29.33,40.73,245.65,322.99
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2024,42.07,139.53,128.28,395.33,705.21
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2024,32.45,182.96,187.65,37.96,441.02
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2024,22.17,121.13,129.08,340.96,613.34
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,5.48,24.41,42.59,324.38,396.86
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2024,4.89,34.13,75.5,361.54,476.06
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2024,26.26,74.95,63.46,100.53,265.2
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,10.71,35.43,44.23,269.05,359.42
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2024,34.12,136.82,161.61,391.63,724.18
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,6.64,20.43,40.9,337.89,405.86
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2024,3.47,47.91,80.24,65.88,197.5
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2024,88.91,247.86,337.72,509.03,1183.52
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,2.65,46.88,140.46,170.79,360.78
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,1.8,42.38,110.19,97.36,251.73
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2024,2.12,32.24,104.99,136.56,275.91
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,0.94,54.16,147.69,108.44,311.23
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2024,14.66,80.23,78.55,64.01,237.45
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2024,50.61,228.22,277.65,174.73,731.21
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2024,23.11,118.58,150.37,130.29,422.35
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2024,2.6,36.03,49.98,49.92,138.53
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2024,1.56,36.59,88.78,103.16,230.09
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2024,33.53,149.19,213.1,101.6,497.42
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2024,3.77,47.47,99.31,78.63,229.18
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2024,1.51,72.94,223.47,192.12,490.04
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2024,52.1,193.76,157.14,163.09,566.09
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2024,5.26,72.79,115.13,88.69,281.87
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2024,3.1,37.11,117.48,117.26,274.95
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2024,114.44,454.7,528.85,208.45,1306.44
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2024,38.9,138.72,166.95,78.24,422.81
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2024,3.41,60.9,148.31,89.3,301.92
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2024,13.45,64.11,114.39,79.79,271.74
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2024,52.12,122.2,103.74,26.61,304.67
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2024,5.07,37.7,88.62,114.4,245.79
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2024,10.5,80.83,216.92,386.44,694.69
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2024,19.26,167.4,314.53,218.6,719.79
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2024,34.43,130.89,131.86,82.66,379.84
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2024,121.56,409.78,336.12,253.53,1120.99
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2024,37.52,240.71,437.74,79.26,795.23
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2024,9.77,35.89,33.35,32.17,111.18
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2024,2.24,26.5,35.12,20.75,84.61
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2024,3.42,59.75,139.21,126.87,329.25
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2024,2.9,56.08,114.72,64.7,238.4
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2024,44.27,185.35,203.2,496.47,929.29
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2024,14.45,105.89,218.52,257.22,596.08
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2024,19.57,102.11,198.41,121.4,441.49
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2024,2.62,78.01,136.45,60.38,277.46
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,2.93,41.04,57.08,45.72,146.77
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2024,15.72,122.26,268.39,382.64,789.01
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2024,0.47,25.83,76.72,87.06,190.08
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2024,6.84,39.57,74.96,452.05,573.42
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2024,95.62,357.17,320.47,64.19,837.45
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2024,25.64,109.22,104.76,287.68,527.3
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2024,111.55,380.17,401.02,456.53,1349.27
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,16.36,134.0,83.16,21.08,254.6
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2024,4.72,45.32,83.55,158.04,291.63
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,99.59,191.47,187.69,218.11,696.86
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,1.45,49.21,77.51,59.9,188.07
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2024,14.85,133.45,189.63,108.35,446.28
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2024,10.21,56.02,83.35,102.58,252.16
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,13.23,133.74,178.31,99.86,425.14
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,4.52,55.28,125.2,129.24,314.24
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,17.27,68.59,78.96,119.54,284.36
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2024,8.36,48.57,58.74,107.75,223.42
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2024,1.19,62.44,195.54,421.05,680.22
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2024,113.02,166.55,125.25,170.69,575.51
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,3.46,47.17,118.08,214.58,383.29
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2024,50.37,200.48,207.31,331.64,789.8
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2024,7.55,28.07,42.53,112.73,190.88
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,15.9,136.81,276.37,477.26,906.34
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2024,44.65,182.6,192.96,212.86,633.07
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2024,55.12,233.15,276.07,291.19,855.53
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,20.41,110.52,169.11,292.15,592.19
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2024,22.29,89.49,109.5,129.33,350.61
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2024,5.38,42.8,77.91,86.76,212.85
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2024,49.56,162.98,154.83,134.91,502.28
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2024,141.45,570.11,488.97,250.06,1450.59
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2024,1.75,15.3,36.2,46.03,99.28
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,6.36,38.04,57.77,97.14,199.31
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2024,25.21,65.71,74.03,94.43,259.38
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2024,34.4,147.96,172.05,219.17,573.58
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2024,24.24,95.93,108.9,121.19,350.26
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2024,10.06,51.27,75.1,97.94,234.37
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2024,23.76,96.81,110.87,136.31,367.75
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2024,81.64,193.35,121.71,137.37,534.07
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,8.37,68.77,159.4,226.68,463.22
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,27.99,74.12,108.41,160.86,371.38
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2024,48.84,208.89,268.16,360.88,886.77
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,14.88,105.04,198.58,424.72,743.22
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2024,2.76,22.38,61.46,99.56,186.16
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,4.46,52.68,108.04,168.08,333.26
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,20.41,126.17,152.04,138.68,437.3
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2024,16.37,68.93,67.3,45.23,197.83
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,33.28,202.17,217.71,137.79,590.95
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,6.68,44.4,56.69,127.96,235.73
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2024,35.98,192.32,326.22,284.27,838.79
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,5.55,50.66,102.45,196.94,355.6
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2024,16.06,110.12,185.04,263.22,574.44
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2024,110.77,271.77,157.77,93.97,634.28
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,7.81,48.45,82.29,217.8,356.35
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2024,112.8,176.03,165.04,231.93,685.8
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2024,22.9,96.49,95.82,53.73,268.94
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,12.02,63.22,91.45,186.03,352.72
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2024,55.15,154.24,117.37,83.56,410.32
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2024,54.26,196.54,119.49,84.05,454.34
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2024,10.59,50.01,88.66,106.59,255.85
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,8.84,84.1,155.89,309.97,558.8
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2024,7.19,48.89,97.25,132.83,286.16
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2024,5.46,64.96,153.76,293.75,517.93
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,16.65,49.37,54.09,58.27,178.38
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2024,4.51,29.1,65.31,116.97,215.89
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2024,13.49,37.75,34.08,94.49,179.81
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,6.99,43.29,83.67,135.86,269.81
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2024,7.81,33.18,60.92,118.93,220.84
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,13.16,54.51,86.59,104.33,258.59
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2024,59.67,152.58,85.55,103.74,401.54
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,14.06,80.01,107.8,176.69,378.56
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2024,76.46,203.96,115.8,164.27,560.49
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2024,17.84,101.74,157.67,254.1,531.35
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2024,68.39,205.29,82.21,42.23,398.12
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2024,59.0,131.37,60.48,57.93,308.78
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2024,48.1,99.06,119.9,47.22,314.28
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2024,38.08,120.93,121.42,117.97,398.4
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2024,5.67,65.46,135.6,243.97,450.7
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2024,29.61,92.03,85.86,60.93,268.43
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2024,5.01,42.46,57.68,80.94,186.09
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2024,10.68,96.67,122.56,185.47,415.38
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2024,44.21,182.23,166.8,141.55,534.79
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2024,10.69,102.03,133.92,165.97,412.61
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2024,13.61,94.8,126.82,146.06,381.29
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2024,4.15,30.06,42.51,90.89,167.61
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2024,72.33,244.48,195.79,159.94,672.54
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2024,53.59,115.52,90.03,92.83,351.97
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2024,17.36,93.58,90.76,113.87,315.57
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2024,74.88,191.26,120.65,58.57,445.36
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2024,12.66,71.5,69.26,63.02,216.44
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2024,52.34,145.48,88.68,55.77,342.27
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2024,45.72,185.03,109.74,76.24,416.73
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2024,48.55,271.26,220.04,213.84,753.69
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2024,19.84,102.57,98.61,49.88,270.9
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2024,42.63,244.43,221.85,144.12,653.03
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2024,26.15,128.61,106.12,135.52,396.4
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2024,45.35,178.9,174.17,163.33,561.75
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2024,50.43,188.59,183.75,112.84,535.61
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2024,27.68,125.07,112.65,155.06,420.46
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2024,17.48,97.67,159.57,361.36,636.08
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2024,12.85,126.18,228.37,395.98,763.38
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2024,16.36,58.49,56.94,91.32,223.11
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2024,59.41,249.29,239.22,184.48,732.4
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,2024,20.84,103.39,104.11,232.54,460.88
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2024,7.41,31.9,33.25,76.6,149.16
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2024,30.74,66.59,67.13,91.17,255.63
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2024,15.05,121.42,131.06,146.57,414.1
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2024,42.18,140.43,111.96,108.76,403.33
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2024,12.2,75.03,77.23,80.59,245.05
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2024,21.91,110.19,135.18,177.74,445.02
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2024,82.38,168.49,131.51,144.56,526.94
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2024,113.32,190.37,120.58,221.87,646.14
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2024,33.24,46.01,35.08,26.84,141.17
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2024,23.48,97.86,117.69,150.16,389.19
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2024,26.05,127.32,105.87,112.29,371.53
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2024,86.76,199.81,140.41,189.97,616.95
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2024,25.73,102.47,140.49,174.63,443.32
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2024,59.89,128.22,81.06,47.71,316.88
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2024,29.75,68.68,78.8,135.86,313.09
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2024,33.85,129.78,124.91,257.2,545.74
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2024,7.52,50.32,51.38,76.87,186.09
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2024,1.49,24.16,64.66,92.67,182.98
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2024,109.36,129.98,66.94,73.6,379.88
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2024,34.77,191.98,195.03,436.93,858.71
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2024,18.43,146.32,234.4,589.67,988.82
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2024,25.2,45.89,20.2,40.89,132.18
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2024,25.5,132.38,145.94,246.68,550.5
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2024,248.77,336.28,186.49,156.65,928.19
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,2024,42.4,87.49,55.05,102.62,287.56
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2024,153.64,138.62,66.58,90.16,449.0
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2024,99.21,144.12,90.42,106.63,440.38
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2024,62.01,226.54,288.7,869.54,1446.79
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2024,40.18,158.47,149.66,250.74,599.05
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2024,76.23,160.99,101.23,88.6,427.05
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2024,28.01,73.95,56.91,134.76,293.63
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,2024,90.57,429.46,543.08,672.39,1735.5
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,2024,159.38,191.89,118.52,208.18,677.97
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2024,120.2,236.78,186.01,188.98,731.97
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2024,36.04,76.01,55.31,82.17,249.53
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,2024,56.15,291.08,380.56,923.15,1650.94
