GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Marthandol,2308.55503,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2024,278.12,413.87,128.33,434.78,1255.1
Village Council,Sinai Kami,600.5737967,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2024,42.39,72.57,36.43,79.2,230.59
Village Council,Hardai,1250.351026,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2024,97.07,133.55,70.71,140.99,442.32
Village Council,Bongshimukha,935.1699561,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2024,125.93,161.95,49.72,176.5,514.1
Village Council,Thaipungbil,852.3689685,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2024,165.88,160.27,42.92,173.95,543.02
Village Council,Khakaham,567.0715825,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,106.13,103.01,26.69,131.52,367.35
Village Council,Dumti Para,752.877888,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2024,47.61,96.65,55.15,73.39,272.8
,Madhya Krishnapur,469.8775625,Khowai,Teliamura,Teliamura,Teliamura,,2024,7.86,11.42,27.8,2.5,49.58
Village Council,Brigudas Bari,694.1745004,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2024,54.93,91.22,48.52,106.51,301.18
Village Council,Kwtal Bodal,710.2921832,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2024,81.81,108.3,42.65,139.97,372.73
Village Council,Chakmaghat,461.2175662,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2024,37.65,41.51,32.43,13.91,125.5
Village Council,Twikalai Kami,112.8057999,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2024,5.89,13.7,8.71,8.47,36.77
Village Council,Bolong Hamkrai Bodal,1163.993651,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2024,64.76,95.46,87.51,48.41,296.14
Village Council,Khatansa Bodal,848.2575129,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,216.19,149.83,22.37,287.42,675.81
Village Council,Sichandi,527.2463433,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2024,15.94,37.64,45.98,18.87,118.43
,Uttar Krishnapur,405.416345,Khowai,Teliamura,Teliamura,Teliamura,,2024,2.92,3.84,24.5,0.77,32.03
Village Council,Manikung Kami,633.7950245,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2024,30.4,74.16,47.31,63.18,215.05
Village Council,Lokuhamkrai Bodal,548.5815764,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2024,84.42,88.19,27.01,129.83,329.45
Village Council,Jorkaham,663.7408709,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2024,66.74,100.08,43.71,97.5,308.03
Village Council,Yaprikwtal Bodal,353.5711685,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2024,92.12,63.51,10.42,102.25,268.3
Village Council,Salkaham,801.5200181,Khowai,Teliamura,Teliamura,Duski,Duski,2024,18.13,28.72,43.93,20.76,111.54
,Laxmipur,149.0905668,Khowai,Teliamura,Teliamura,Teliamura,,2024,1.05,1.61,8.82,0.35,11.83
Village Council,Burakha Kami,325.6099842,West Tripura,Jirania,Mandwi,Burakha,Borakha,2024,0.58,5.3,22.88,1.22,29.98
Village Council,Chubanai Bodal,962.668336,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2024,50.94,69.42,78.03,25.91,224.3
Village Council,Shibnagar,658.9389267,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2024,0.89,9.04,50.51,1.44,61.88
Village Council,Salkiyokjak,512.4852855,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,125.94,79.69,20.58,132.43,358.64
Village Council,Khabaksa Bodal,915.5371476,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2024,52.83,102.25,59.25,44.33,258.66
Village Council,Kathiram Bari,548.7281058,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2024,0.81,6.19,36.4,0.96,44.36
Village Council,Hamari Bodal,889.0235857,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2024,61.83,96.88,59.23,88.73,306.67
Village Council,Yeakbaksa Bodal,692.2849676,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,88.12,109.66,35.72,139.65,373.15
Village Council,Yakhrai Bodal,730.4677594,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2024,73.08,106.04,45.23,111.73,336.08
Village Council,Matai Para,345.9617924,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2024,11.31,13.21,22.89,13.8,61.21
Village Council,Hamkrai Bodal,567.2231095,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,127.23,102.07,20.89,142.08,392.27
Village Council,Lamsokjak Bodal,1169.606884,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2024,84.88,120.43,72.35,140.63,418.29
Village Council,Triprabasti,718.4092429,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2024,154.53,128.85,25.33,214.01,522.72
Village Council,Twisamungkwrwi,254.1611871,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2024,1.99,5.12,28.19,1.92,37.22
Village Council,Kaithorai,1687.800184,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2024,56.78,128.62,127.5,73.18,386.08
Village Council,Khengra Para,498.0057867,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,13.88,35.87,57.52,14.1,121.37
Village Council,Jamilwng,369.7294727,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,10.59,26.55,38.86,10.9,86.9
Village Council,Hamari,368.9524223,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2024,10.25,21.52,43.21,7.85,82.83
Village Council,Twimatai,439.0815859,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2024,10.4,30.36,53.76,10.48,105
Village Council,Tiyarimairang,344.7478265,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2024,5.03,8.13,26.57,5.43,45.16
Village Council,Ramdayalbari,956.4929263,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2024,12.12,29.81,70.36,11.16,123.45
Village Council,Jogendra Smriti,556.8319129,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2024,13.19,32.41,48.85,11.54,105.99
Village Council,Jorakwtal,188.021256,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2024,5.67,8.31,20.14,4.16,38.28
Village Council,Athukiri,328.079409,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2024,12.73,23.6,32.1,11.52,79.95
Village Council,Hridoy Choudhury,646.8259949,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2024,2.29,9.06,43.22,1.78,56.35
Village Council,Salka,311.2900524,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2024,5.2,17.74,33.87,6.72,63.53
Village Council,Hataikator,701.992399,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2024,18.89,46.47,74.03,18.03,157.42
Village Council,Ratiranjan,772.1418742,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2024,23.27,37.6,48.26,24.74,133.87
Village Council,Harefkator,377.6431325,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2024,5.09,11.15,39.65,5.84,61.73
Village Council,Kambukcherra,376.3477893,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2024,10.36,20.54,39.99,8.17,79.06
Village Council,Arunjoy,1665.226737,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2024,5.55,19.18,94.83,2.92,122.48
Village Council,South Gayamani,563.5030005,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2024,6.76,16.4,34.16,5.76,63.08
Village Council,Kwswrang,406.2570202,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2024,8.34,22.16,47.82,6.84,85.16
Village Council,North Gayamani,358.9455454,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2024,8.65,16.73,25.03,6.72,57.13
Village Council,Krishna Debbarma,392.6675964,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2024,0.46,2.37,18.48,0.29,21.6
,Bairagi Para,459.1062562,Unakoti,Kumarghat,Machmara,Krishnatilla,,2024,43.3,71.92,33.78,59.37,208.37
Village Council,Umanjoy Para,1324.372315,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2024,127.78,222.17,87.53,193.27,630.75
Village Council,B.C. Para,1039.780901,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2024,28.47,51.02,104.61,24.6,208.7
Village Council,Dhaniram Debbarma,505.0670984,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2024,6.64,11.64,32.5,4.77,55.55
Gram Panchayet,Upendra,1302.626125,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2024,6.33,8.71,73.38,1.27,89.69
Village Council,Bhupendra Debbarma,921.4659642,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2024,0.7,11.72,58.47,1.52,72.41
Village Council,Samung Kaham Bodal,155.7792157,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2024,1.23,4,8.19,1.19,14.61
Village Council,Ganthalwng,121.7226639,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2024,3.27,6.54,11.55,2.05,23.41
Village Council,Pirkha,443.7869472,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2024,9.28,24.81,49.79,6.76,90.64
Village Council,Tentuikhar,330.6425565,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2024,6.53,16.06,33.59,5.07,61.25
Village Council,Thancha,1315.439899,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2024,118.32,115.4,77.8,148.01,459.53
Village Council,Mathura Para,1136.29865,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2024,57.66,99.74,96.44,96.8,350.64
Village Council,Hakwithang,576.5839843,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2024,9.11,21.33,47.45,7.32,85.21
Village Council,Masrai Para,372.2790162,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2024,4.07,13.08,38.92,4.09,60.16
Village Council,Dhananjoy Para,247.5145911,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,7.14,14.26,17.25,13.49,52.14
Village Council,Panbagan,1459.950568,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2024,102.96,198.45,112.48,164.08,577.97
Village Council,Dalam Para,376.1284422,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2024,36.19,56.29,30.76,47.19,170.43
Village Council,Khabaksa,939.0123611,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2024,167.87,150.1,44.54,227.48,589.99
Village Council,Sanduk Hamkrai,1057.843128,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2024,2.41,9.37,57.58,2.63,71.99
Village Council,Bolong Swnamnai,757.227566,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2024,68.81,77.38,45.26,92.71,284.16
Village Council,Yapribaksa,1663.53672,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2024,19.3,49.95,95.04,11.84,176.13
Village Council,Salkwtal,349.9848214,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,2.75,5.41,29.09,3.09,40.34
Village Council,Dangarai Para,492.3056988,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2024,35.38,55.28,35.37,48.47,174.5
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,38.8,58.73,69.93,54.51,221.97
Village Council,G.C. Para,261.1943691,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,8.48,18.36,28.72,9.78,65.34
Village Council,Bagabil,596.2403052,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2024,9.04,22.44,61.71,8.95,102.14
Village Council,Lamphunuknai,320.5741899,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2024,6.8,18.32,21.39,5.74,52.25
Village Council,Purba Simna,570.2461875,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2024,7.45,18.49,50.73,7.24,83.91
Village Council,Sakya Adam,635.1500827,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,30.1,46.73,63.07,49.55,189.45
Village Council,Singharam Para,472.2179033,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2024,23.73,35.07,32.17,32.72,123.69
Village Council,Maharaja Bir Bikram,301.4093377,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2024,13.54,21.13,20.29,10.67,65.63
Village Council,Rosomala Debbarma,1151.072756,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2024,136.11,151.66,97.53,159.86,545.16
Village Council,Ramdula,927.1329697,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2024,33.8,54.07,49.24,44.12,181.23
Village Council,Chandrakha,700.4215163,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,82.56,98.95,51.94,93.16,326.61
Village Council,Rangchak Balong,1303.400489,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2024,87.2,126.43,85.35,130.12,429.1
Village Council,Chong Chong,312.830333,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2024,31.2,41.66,20.72,44.71,138.29
Village Council,Sadhu Chandra Para,1576.611322,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,179.18,222.96,122.03,202.72,726.89
Village Council,Bidyabil,724.5156337,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2024,8.9,11.91,45.79,3.8,70.4
Village Council,Agarchandra Debbarma,921.8051355,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2024,3.51,4.08,53.82,0.6,62.01
Village Council,Bhudha Valley,926.3796735,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2024,103.48,127.06,68.32,108.57,407.43
Village Council,Kamalapur,527.2827228,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2024,17.58,19.16,42.54,15.85,95.13
Village Council,Egattor,359.8117979,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2024,15.56,21.73,30.33,19.96,87.58
Village Council,Udandi,683.2902425,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2024,13.95,16.72,52.93,12.9,96.5
Gram Panchayet,Sabujbanani,2352.479441,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2024,25.01,44.8,170.27,25.46,265.54
Village Council,Baghaicherra,162.0663215,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2024,6.45,8.45,13.44,6.41,34.75
Village Council,Greengold,323.9116783,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,20.42,27.3,26.06,22.95,96.73
Village Council,Banabithi,415.1247836,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2024,32.18,36.24,31.54,30.95,130.91
Village Council,Khakchang,938.178997,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2024,47.59,50.69,76.09,60.16,234.53
Village Council,Ujan Baghaicherra,513.028386,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2024,18.84,24.6,42.23,17.03,102.7
Village Council,Sonarampara,368.8073558,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2024,16.37,15.63,30.81,14.23,77.04
Village Council,Kelthang Twisa,574.1414759,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2024,25.22,33.64,46.2,31.31,136.37
Gram Panchayet,Banasree,718.5559532,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2024,16.55,16.91,38.03,8.82,80.31
Village Council,Banaraj,850.9225082,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,71.65,92.46,77.43,85.76,327.3
Village Council,Sundarvan,668.2961625,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2024,56.49,62.62,52.7,65.18,236.99
Village Council,Gobindabari,1253.152292,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2024,52.29,54.69,96.94,44.45,248.37
Village Council,Judamonipara,1356.324446,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,136.87,126.41,121.79,138.41,523.48
Village Council,Bru-Kami,333.9911314,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2024,48.43,47.02,29.32,42.11,166.88
Village Council,Greenland,596.3811035,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,86.59,74.89,48.51,73.98,283.97
Village Council,Rachiline,713.2991011,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,19.67,33.78,65.1,23.3,141.85
Gram Panchayet,Kalagang,261.3701906,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2024,3.66,3.3,19.17,1.31,27.44
Village Council,Mundaline,822.7660942,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2024,10.86,19.81,68.96,7.95,107.58
Village Council,Phaiko,429.562075,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,38.91,53.03,30.64,63.16,185.74
Village Council,Seba Ch. Para,1317.221818,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2024,41.58,52.36,96.38,51.29,241.61
Village Council,Tailenbari,600.3476521,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,90.39,88.73,43.38,95.27,317.77
Gram Panchayet,Moracherra,1034.883999,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2024,111.81,102.31,88.08,110.57,412.77
NP,C.H Para JFMC,816.7935103,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2024,7.66,6.57,40.18,2.52,56.93
Village Council,Seisimdung,651.3098702,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,81.32,106.92,37.55,117.19,342.98
Gram Panchayet,Buthuhill,1078.554632,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2024,54.82,66.47,67.04,58.93,247.26
Gram Panchayet,West Bilthai,353.4600865,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2024,5.59,3.54,29.46,1.93,40.52
Village Council,Saitha,609.8020997,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2024,64.46,75.93,43.38,82.86,266.63
Gram Panchayet,Shyamprasad Mukherjee,516.9304468,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2024,3.41,5.22,25.29,1.58,35.5
Gram Panchayet,Puspamanipara,615.2021462,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2024,8.98,9.08,34.83,5.06,57.95
Gram Panchayet,Kami Humkarai,490.4343731,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2024,34.31,46.66,44.57,48.16,173.7
Village Council,Shivbari,982.8572212,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2024,157.9,157.29,58.71,170.14,544.04
Gram Panchayet,Phaikakham,516.6313242,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2024,59.62,63.14,41.29,56.08,220.13
Village Council,Mannei,984.5014486,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2024,111.94,132.73,69.39,151.04,465.1
Village Council,Reang Para,299.7080306,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,13.7,23.25,26.35,20.92,84.22
Village Council,Eden Rahuan,440.0368578,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2024,48.16,53.32,35.03,70.95,207.46
Gram Panchayet,Lumbockcherra,311.966249,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2024,29.67,34.68,17.24,52.28,133.87
Village Council,Balidhum,472.6373433,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,77.47,71.7,37.43,64.19,250.79
Village Council,Tivalian,421.4766065,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2024,40.89,53.87,31.07,60.69,186.52
Village Council,Bireshpara,463.3139332,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,26.1,41.28,44.16,39.03,150.57
Gram Panchayet,Parasen,574.8812761,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2024,20.17,27.25,30.81,28.39,106.62
Village Council,Baithangbari,639.1048078,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2024,70.06,64.85,50.37,76.63,261.91
Gram Panchayet,Balicherra,865.1212705,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2024,41.49,64.07,45.57,61.57,212.7
Village Council,Nabajiban,959.0200933,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2024,53.65,82.36,73.18,81.38,290.57
Gram Panchayet,Banaphul,557.6198812,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2024,6.96,7.88,26.28,5.79,46.91
Gram Panchayet,Alochaya,420.2280337,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2024,9.15,10.84,20.03,8.13,48.15
Village Council,Pathaliaghat,389.3197494,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2024,2.1,4.54,15.42,0.45,22.51
Village Council,Chelakappa,732.9412968,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2024,32.41,61.35,49.8,62.55,206.11
Village Council,Kaptali,944.2200809,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2024,88.96,144.03,66.5,172.58,472.07
Village Council,Pothachari,468.6693646,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2024,10.01,25.79,35.31,20.33,91.44
Village Council,Deshram khamar Para,357.2187539,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2024,31.79,48.75,25.39,45.44,151.37
Village Council,Nabachandra Para,879.662804,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2024,59.05,108.07,61.89,120.94,349.95
Village Council,Annabandhu Para,972.73778,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2024,44.15,77.22,68.4,69.22,258.99
Village Council,New Gunjalima,870.6227797,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2024,49.26,101.37,67.78,103.04,321.45
Village Council,Meghabarna Para,775.5240815,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2024,51.2,82.97,67.57,90.28,292.02
Village Council,Hazachari,322.0787445,Gomati,Karbook,Silachari,Suknachari,Hajachari,2024,41.43,35.72,23.28,53.87,154.3
Village Council,Larong,1085.773057,Gomati,Karbook,Silachari,Suknachari,Hajachari,2024,45.61,59.46,66.95,58.64,230.66
Village Council,Silaguha,579.5011521,Gomati,Karbook,Silachari,Silachari,Silachari,2024,30.94,37.56,33.75,34.84,137.09
Village Council,Barbil,565.7402645,Gomati,Karbook,Silachari,Ailmara,Barabil,2024,53.85,64.98,38.33,65.49,222.65
Village Council,Wasna,634.2356789,Gomati,Karbook,Silachari,Ailmara,Barabil,2024,4.75,9.78,31.84,4.85,51.22
Village Council,Aloran,399.4390564,Gomati,Karbook,Silachari,Ailmara,Ailmara,2024,22.08,42.05,30.12,35.2,129.45
Village Council,Chakma Augmuli,472.847395,Gomati,Karbook,Silachari,Ailmara,Ailmara,2024,4.43,8.97,26.12,4.59,44.11
Village Council,Patichari,658.2453391,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2024,17.61,32.03,37.31,26.64,113.59
Village Council,Bolong Naithok,1229.445988,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2024,38.76,75.11,82.42,61.67,257.96
Village Council,Nabajagaran,404.626922,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2024,5.38,12.69,34.21,5.99,58.27
Village Council,Pilonjoy Para,995.8588576,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2024,14.48,27.2,85.15,19.87,146.7
Village Council,Khumpui,669.0711878,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2024,33.46,49.28,51,52.54,186.28
Village Council,Debi chari,1005.52202,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2024,47.67,71.87,68.52,78.21,266.27
Village Council,Jangidas Para,838.188825,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2024,13.7,27.99,80.53,19.52,141.74
Village Council,Durparai Para,680.3709562,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2024,20.55,31.47,46.66,30.83,129.51
Village Council,Yaprikwtal,1241.599394,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2024,71.21,108.69,86.45,140.23,406.58
Village Council,Twibaglai,1567.121889,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2024,205.54,237.2,102.17,296.35,841.26
Village Council,Sabuj banani,364.7942988,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2024,15.5,22.54,25.99,25.05,89.08
Village Council,Jugendra Para,1243.782129,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2024,32.44,66.84,111.54,52.97,263.79
Village Council,Hamkrai,781.1554902,Gomati,Karbook,Karbook,Lowgang,Lowgang,2024,44.7,64.74,52.58,74.12,236.14
Village Council,Satarai Uchoipara,264.7948033,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2024,15.68,21.63,17.44,27.51,82.26
Village Council,Mandirghat Para,449.7386832,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2024,45.67,55.25,28.07,56.56,185.55
Village Council,Rasnadhan Para,713.8966193,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2024,95.35,119.06,44.12,91.62,350.15
Village Council,Santipara,640.0407275,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2024,15.2,30.46,45.16,29,119.82
,Baiddya Charri,436.9073283,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2024,17.38,34.67,33.46,31.67,117.18
Village Council,Aaranga,796.8264434,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2024,87.51,110.96,52.75,101.01,352.23
Village Council,Swapner Sabuj,750.5286215,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2024,9.43,17.35,37.44,6.95,71.17
Village Council,Labarai Para,1034.006519,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2024,34.34,47.92,56.27,49.87,188.4
Village Council,Raishyabari Nokthai,251.9298461,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2024,2.91,4.8,11.35,3.11,22.17
Village Council,Swam Twisa,692.7116648,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2024,81.56,116.9,35.52,96.55,330.53
Village Council,Purba Potacherra,622.1716876,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2024,26.16,39.94,36.4,48.47,150.97
Village Council,Bhomracherra,948.2955481,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2024,43.98,73.14,52.82,61.3,231.24
Village Council,Khasmai,790.3493358,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2024,84.82,142.13,41.32,112.34,380.61
