GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Tuidolnai Bodal,1384.314552,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2020,151.38,159.5,61.9,207.87,580.65
Village Council,Emmanualpara,364.6582798,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2020,83.35,73.73,9.81,92.6,259.49
Village Council,Bardwal,455.7130481,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,116.83,98.32,11.36,126.57,353.08
Gram Panchayet,Raktiacherra,171.4258716,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2020,5.25,6.09,8.27,5.38,24.99
Gram Panchayet,Hamkrai,242.3003235,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2020,11.27,9.24,10.9,8.8,40.21
Village Council,Aitorma Bodal,956.2202273,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2020,179.62,167.59,35.95,308.96,692.12
Village Council,Marthandol,2308.55503,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2020,422.56,425.91,71.35,765.2,1685.02
Village Council,Sinai Kami,600.5737967,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,91.62,88.33,27.92,104.07,311.94
Village Council,Hardai,1250.351026,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2020,205.28,161.56,50.39,222.48,639.71
Village Council,Bongshimukha,935.1699561,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2020,191.71,140.09,29.57,317.21,678.58
Village Council,Thaipungbil,852.3689685,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2020,222.74,149.4,16.92,300.89,689.95
Village Council,Khakaham,567.0715825,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,134.81,84.09,15.29,215.23,449.42
Village Council,Dumti Para,752.877888,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,103.63,107.96,41.58,175.64,428.81
,Madhya Krishnapur,469.8775625,Khowai,Teliamura,Teliamura,Teliamura,,2020,25.45,22.82,21.44,18.04,87.75
Village Council,Brigudas Bari,694.1745004,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,133.52,85.74,54.94,166.7,440.9
Village Council,Kwtal Bodal,710.2921832,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2020,138.72,108.63,25.5,226.18,499.03
Village Council,Chakmaghat,461.2175662,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2020,71.92,55.58,20.2,39.61,187.31
Village Council,Twikalai Kami,112.8057999,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,14.38,12.26,9.54,20.71,56.89
Village Council,Bolong Hamkrai Bodal,1163.993651,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2020,162.85,141.6,58.44,158.56,521.45
Village Council,Khatansa Bodal,848.2575129,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,240.44,139.37,12.65,357.54,750
Village Council,Sichandi,527.2463433,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,55.01,65.13,28.68,94.18,243
,Uttar Krishnapur,405.416345,Khowai,Teliamura,Teliamura,Teliamura,,2020,12.11,15.12,19.44,10.3,56.97
Village Council,Manikung Kami,633.7950245,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,83.97,70.59,55.03,138.74,348.33
Village Council,Lokuhamkrai Bodal,548.5815764,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2020,115.86,80.68,18.25,198.29,413.08
Village Council,Jorkaham,663.7408709,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2020,121.94,110.92,21.22,212.2,466.28
Village Council,Yaprikwtal Bodal,353.5711685,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2020,105.42,56.96,5.33,136.1,303.81
Village Council,Salkaham,801.5200181,Khowai,Teliamura,Teliamura,Duski,Duski,2020,48.78,49.03,37.08,53.99,188.88
,Laxmipur,149.0905668,Khowai,Teliamura,Teliamura,Teliamura,,2020,5.11,5.39,7.16,3.82,21.48
Village Council,Burakha Kami,325.6099842,West Tripura,Jirania,Mandwi,Burakha,Borakha,2020,4.27,10.09,21.31,4.95,40.62
Village Council,Chubanai Bodal,962.668336,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2020,116.26,97.89,52.98,75.51,342.64
Village Council,Shibnagar,658.9389267,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2020,8.43,17.7,35.64,17.1,78.87
Village Council,Salkiyokjak,512.4852855,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,136.57,88.16,19.52,126.68,370.93
Village Council,Khabaksa Bodal,915.5371476,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2020,89.49,90.66,62.44,76.54,319.13
