GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Village Council,Panchnaliya,647.303111942,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,10.65,349.6,144.29,13.16,2020,517.7
Gram Panchayet,Kamalnagar,627.091768573,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,80.38,379.61,61.29,1.01,2020,522.29
Village Council,Bijoynagar,874.579267008,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,24.66,422.33,169.98,8.12,2020,625.09
Gram Panchayet,South Kalamchowra,656.865334562,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,86.46,411.3,44.47,1.88,2020,544.11
Gram Panchayet,North Kalamchowra,533.959137835,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,93.61,315.1,24.98,1.12,2020,434.81
Village Council,Anandanagar,446.009744782,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,22.42,206.91,29.18,0.87,2020,259.38
Gram Panchayet,Ashabari,822.338754546,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,63.35,500.6,87.64,5.43,2020,657.02
Gram Panchayet,Kalshimura,502.227323255,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,82.42,309.6,33.1,1.44,2020,426.56
Village Council,Tarapadabari,244.503939572,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,35.09,149.08,20.15,1.09,2020,205.41
Village Council,Goliraibari,810.030561919,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,84.07,536.72,74.1,3.46,2020,698.35
Gram Panchayet,Puttia,262.831221619,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,103.79,125.35,14.5,0.41,2020,244.05
Village Council,Bangshibari,1258.14121854,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,170.04,731.31,191.27,14.09,2020,1106.71
Village Council,Nazrul,560.735426556,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,41.96,395.95,47.75,2.07,2020,487.73
Village Council,Amarendranagar,604.836894405,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,29.19,405.79,86.22,2.79,2020,523.99
Gram Panchayet,Manikyanagar,1294.79155294,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,265.11,685.64,78.22,1.49,2020,1030.46
Gram Panchayet,Veluarchar,940.993727651,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,225.92,492.6,20.77,0.21,2020,739.5
Village Council,Dingroi,832.489852984,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,54.23,459.82,150.16,5.67,2020,669.88
Village Council,Pitra Hatai,1001.2148316,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,12.85,216.7,312.82,132.1,2020,674.47
Village Council,Khumpoi Bodal,1311.98433764,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,108.98,553.57,387.99,136.46,2020,1187.0
Village Council,Aitorma,297.086402879,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,83.07,105.25,37.22,10.18,2020,235.72
Village Council,Mohanpur,961.962581945,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,99.59,405.73,261.51,69.0,2020,835.83
Village Council,Vasaitipu,349.260902593,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,0.24,27.81,99.59,94.02,2020,221.66
Village Council,Salka,943.570865159,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,112.47,490.52,198.64,44.11,2020,845.74
Village Council,Pravapur,859.706927865,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,117.63,315.41,233.3,22.92,2020,689.26
