GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Gram Panchayet,Krishnanagar,681.827080141,South Tripura,Belonia,Hrishyamukh,Nalua,Haripur,131.55,182.27,84.27,119.22,2020,517.31
Village Council,Manoranjanpara,776.811393393,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,10.9,59.35,117.93,209.06,2020,397.24
Village Council,Brinda Kishore Roaja Para,1544.6498855,South Tripura,Sabroom,Bankul,Bankul,Bishnupur,55.06,187.26,251.5,322.34,2020,816.16
Gram Panchayet,Malambari,941.44723087,South Tripura,Belonia,Hrishyamukh,Malambari,Hrishyamukh,181.38,246.97,167.33,146.44,2020,742.12
Village Council,Ananda Kumar,413.728472093,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,20.47,115.33,115.67,97.28,2020,348.75
Village Council,Chota Sakbari,347.640035295,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,26.67,65.54,83.04,92.64,2020,267.89
Village Council,Maa Bankumai,1965.79397961,South Tripura,Belonia,Hrishyamukh,Hrishyamukh,Dhananjoy Nagar,14.15,77.29,190.81,828.98,2020,1111.23
Village Council,Chati,608.126203007,South Tripura,Sabroom,Satchand,Bhuratali,North Taichima,33.09,112.66,158.37,120.83,2020,424.95
Gram Panchayet,Bhatubari,1539.28003877,South Tripura,Belonia,Hrishyamukh,Motai,Debipur,229.0,373.21,373.25,302.01,2020,1277.47
Village Council,Khakaham,709.415068979,South Tripura,Belonia,Kakulia,Manirambari,Manirampur,25.49,108.32,135.49,222.99,2020,492.29
Village Council,South Hichachara,1035.42012358,South Tripura,Santirbazar,Kakulia,Abhanga,Ramraibari,75.95,236.38,257.47,242.26,2020,812.06
Village Council,Thansha,687.607953157,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,7.23,38.1,65.91,299.31,2020,410.55
Village Council,Sachirambari,1705.56944018,South Tripura,Santirbazar,Kakulia,Abhanga,South Hichacherra,98.16,540.29,357.85,265.84,2020,1262.14
Village Council,Hakchal,775.586408288,South Tripura,Santirbazar,Kakulia,Srikantabari,Abangchara,22.88,133.26,137.84,193.03,2020,487.01
