GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2020,0.0,36.28,22.7,54.13,8.4,27.84,48.62,50.0,203.96,79.86,182.81,68.8,48.89,89.19,921.48
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,0.0,102.46,137.25,64.54,109.12,85.47,124.29,63.64,30.69,101.2,28.77,23.7,30.87,24.54,926.54
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,0.0,13.56,17.71,36.52,15.28,54.83,51.52,45.83,75.68,80.34,43.78,26.5,33.86,31.89,527.3
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2020,0.0,11.87,16.59,27.97,16.02,39.33,58.65,35.39,48.24,55.51,16.28,13.38,11.4,9.19,359.82
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,0.0,13.43,19.78,52.32,16.22,92.57,58.87,44.73,74.11,84.29,53.32,51.6,61.56,60.48,683.28
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2020,0.0,50.0,77.05,207.87,71.72,290.73,379.26,176.25,221.68,261.89,182.51,230.08,139.37,64.27,2352.68
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2020,0.0,7.2,12.04,11.77,12.19,2.95,35.62,21.97,18.55,27.54,5.3,2.15,1.02,3.73,162.03
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,0.0,20.33,33.38,24.67,35.56,12.59,81.98,32.65,17.21,33.73,8.53,5.77,5.08,12.48,323.96
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2020,0.0,27.0,43.28,28.87,33.68,31.88,64.19,26.12,15.15,44.22,18.75,14.04,25.53,42.26,414.97
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2020,0.0,58.64,56.94,92.37,62.71,72.27,187.93,74.05,72.79,104.0,42.44,50.47,38.79,24.69,938.09
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2020,0.0,17.76,31.02,40.17,21.82,42.42,72.0,43.39,36.43,85.79,36.76,27.84,25.92,31.61,512.93
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,0.0,14.07,22.44,29.29,20.48,20.62,59.46,46.12,43.94,55.96,19.08,13.1,12.94,11.41,368.91
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2020,0.0,32.38,33.93,56.37,35.07,41.93,128.25,45.21,36.24,65.47,27.45,29.25,30.3,12.3,574.15
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2020,0.0,20.51,24.23,35.54,14.75,117.03,45.19,33.1,42.29,71.63,73.0,108.51,86.3,46.46,718.54
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,0.0,74.9,97.1,77.94,99.76,35.85,229.48,73.27,41.7,81.7,12.13,7.84,10.59,8.76,851.02
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,0.0,56.77,74.43,57.56,78.97,40.04,148.87,51.69,34.31,50.73,10.96,29.52,20.41,14.02,668.28
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,0.0,34.0,51.05,89.87,41.84,110.79,154.83,118.64,119.12,207.47,93.01,78.74,81.93,71.77,1253.06
