GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,0.0,122.06,195.41,119.22,191.54,51.09,338.98,130.81,74.72,177.47,22.08,11.03,12.29,13.27,1459.97
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2020,0.0,38.23,54.82,29.06,45.18,19.71,80.68,33.57,11.69,52.78,4.46,2.61,1.65,1.67,376.11
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,0.0,241.0,150.63,21.39,339.7,5.02,48.37,44.21,16.13,29.81,12.47,15.75,6.96,7.36,938.8
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2020,0.0,12.49,20.3,61.86,9.58,103.87,68.0,51.79,291.86,98.06,116.24,118.3,75.08,30.7,1058.13
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,0.0,140.27,94.2,28.25,188.53,13.43,50.91,40.13,20.66,38.19,35.77,68.53,15.28,23.11,757.26
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2020,0.0,81.84,72.64,88.63,53.36,88.14,121.77,126.69,266.42,128.4,211.14,207.39,117.32,99.86,1663.6
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,0.0,8.63,12.33,22.62,7.52,31.13,45.69,25.93,98.22,29.76,19.82,19.65,23.55,5.21,350.06
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2020,0.0,33.12,57.54,35.61,56.3,12.4,106.93,44.05,39.73,68.66,18.0,5.04,5.75,9.14,492.27
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,0.0,32.0,47.14,72.54,43.86,166.85,91.16,79.98,97.18,149.74,82.68,85.11,117.44,42.03,1107.71
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,0.0,25.95,31.93,15.23,30.26,2.53,49.51,34.07,43.55,17.75,3.93,1.98,2.16,2.32,261.17
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2020,0.0,31.42,44.44,44.28,35.87,28.17,107.95,64.1,130.98,55.98,17.75,17.88,12.94,4.3,596.06
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2020,0.0,24.02,17.05,19.49,9.53,11.31,25.44,31.46,56.28,36.45,39.38,14.9,14.65,20.85,320.81
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,0.0,28.62,32.4,35.14,28.2,42.53,84.9,62.92,137.31,58.99,19.17,18.53,17.91,3.71,570.33
